date,l_ipn,f
2006-07-04,7,2
2006-07-04,7,1
2006-07-04,7,9
2006-07-04,7,3
2006-07-04,7,3
2006-07-04,7,1
2006-07-04,7,4
2006-07-04,7,1
2006-07-04,7,2
2006-07-04,7,52
2006-07-04,7,4
2006-07-04,7,48
2006-07-04,7,7
2006-07-04,7,7
2006-07-04,7,3
2006-07-04,7,2
2006-07-04,7,1
2006-07-04,7,1
2006-07-04,7,1
2006-07-04,8,4
2006-07-04,8,8
2006-07-04,8,8
2006-07-04,8,1
2006-07-04,8,8
2006-07-04,8,11
2006-07-04,8,3
2006-07-04,8,3
2006-07-04,8,1
2006-07-04,8,11
2006-07-04,8,10
2006-07-04,8,12
2006-07-04,8,5
2006-07-04,8,2
2006-07-04,8,4
2006-07-04,8,3
2006-07-04,8,1
2006-07-04,8,38
2006-07-04,8,41
2006-07-04,8,9
2006-07-04,8,1
2006-07-04,8,1
2006-07-04,8,7
2006-07-04,8,1
2006-07-04,8,4
2006-07-04,8,3
2006-07-04,8,1
2006-07-04,8,1
2006-07-04,8,2
2006-07-04,8,10
2006-07-04,8,1
2006-07-04,8,1
2006-07-04,8,8
2006-07-04,8,296
2006-07-04,8,2
2006-07-04,8,684
2006-07-04,8,1
2006-07-04,8,2
2006-07-04,8,1
2006-07-04,8,2
2006-07-04,8,10
2006-07-04,8,6
2006-07-04,8,1
2006-07-04,8,7
2006-07-04,9,2
2006-07-04,9,3
2006-07-04,9,1
2006-07-05,0,4
2006-07-05,0,12
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,2
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,68
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,2
2006-07-05,0,2
2006-07-05,0,4
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,4
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,2
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,2
2006-07-05,0,1
2006-07-05,0,2
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,18
2006-07-05,0,2
2006-07-05,0,2
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,1
2006-07-05,0,4
2006-07-05,0,2
2006-07-05,1,2
2006-07-05,1,3
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,1,2
2006-07-05,1,1469
2006-07-05,1,13
2006-07-05,1,2
2006-07-05,1,4
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,1,4405
2006-07-05,1,2
2006-07-05,1,13
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,1,4
2006-07-05,1,5
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,1,570
2006-07-05,1,1
2006-07-05,1,2
2006-07-05,1,2
2006-07-05,1,196
2006-07-05,1,2
2006-07-05,1,12
2006-07-05,1,9
2006-07-05,1,3
2006-07-05,1,6
2006-07-05,1,1
2006-07-05,1,7
2006-07-05,1,1
2006-07-05,1,2
2006-07-05,1,1
2006-07-05,1,10
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,1,1
2006-07-05,2,1
2006-07-05,2,1
2006-07-05,2,1
2006-07-05,2,38
2006-07-05,2,84
2006-07-05,2,6
2006-07-05,2,4
2006-07-05,2,2725
2006-07-05,2,1
2006-07-05,2,12
2006-07-05,2,921
2006-07-05,2,2
2006-07-05,2,3
2006-07-05,2,78
2006-07-05,2,18
2006-07-05,2,734
2006-07-05,2,2
2006-07-05,2,29
2006-07-05,2,48
2006-07-05,2,1
2006-07-05,2,12
2006-07-05,2,4
2006-07-05,3,1
2006-07-05,3,2
2006-07-05,3,1
2006-07-05,3,60
2006-07-05,3,2
2006-07-05,3,16
2006-07-05,3,1
2006-07-05,3,1
2006-07-05,3,1
2006-07-05,3,2
2006-07-05,4,1
2006-07-05,4,1
2006-07-05,4,73
2006-07-05,4,4408
2006-07-05,4,3
2006-07-05,4,2
2006-07-05,4,747
2006-07-05,4,2
2006-07-05,4,2
2006-07-05,4,28
2006-07-05,4,10
2006-07-05,4,83
2006-07-05,4,283
2006-07-05,5,1
2006-07-05,5,6
2006-07-05,5,6
2006-07-05,5,2
2006-07-05,5,1
2006-07-05,5,1
2006-07-05,5,77
2006-07-05,5,2
2006-07-05,5,15
2006-07-05,5,3
2006-07-05,5,6
2006-07-05,5,4
2006-07-05,5,2
2006-07-05,5,2
2006-07-05,5,1
2006-07-05,6,2
2006-07-05,6,2
2006-07-05,6,2
2006-07-05,6,78
2006-07-05,6,2
2006-07-05,6,1
2006-07-05,6,17
2006-07-05,6,1
2006-07-05,6,2
2006-07-05,6,2
2006-07-05,6,2
2006-07-05,6,2
2006-07-05,7,1
2006-07-05,7,5
2006-07-05,7,2
2006-07-05,7,10
2006-07-05,7,5
2006-07-05,7,1
2006-07-05,7,3
2006-07-05,7,39
2006-07-05,7,3
2006-07-05,7,1
2006-07-05,7,2
2006-07-05,7,5
2006-07-05,7,2
2006-07-05,7,1
2006-07-05,7,3
2006-07-05,7,38
2006-07-05,7,48
2006-07-05,7,25
2006-07-05,7,11
2006-07-05,7,3
2006-07-05,8,5
2006-07-05,8,5
2006-07-05,8,1
2006-07-05,8,5
2006-07-05,8,3
2006-07-05,8,6
2006-07-05,8,6
2006-07-05,8,10
2006-07-05,8,2
2006-07-05,8,6
2006-07-05,8,28
2006-07-05,8,3
2006-07-05,8,6
2006-07-05,8,7
2006-07-05,8,3
2006-07-05,8,2
2006-07-05,8,3
2006-07-05,8,3
2006-07-05,8,2
2006-07-05,8,3
2006-07-05,8,4
2006-07-05,8,1
2006-07-05,8,28
2006-07-05,8,4409
2006-07-05,8,10
2006-07-05,8,55
2006-07-05,8,5
2006-07-05,8,3
2006-07-05,8,3
2006-07-05,8,2
2006-07-05,8,2
2006-07-05,8,1
2006-07-05,8,2291
2006-07-05,8,1
2006-07-05,8,7
2006-07-05,8,50
2006-07-05,8,1
2006-07-05,8,395
2006-07-05,8,1
2006-07-05,8,2
2006-07-05,8,30
2006-07-05,8,4
2006-07-05,8,6
2006-07-05,8,25
2006-07-05,8,11
2006-07-05,9,97
2006-07-05,9,4
2006-07-05,9,19
2006-07-05,9,2
2006-07-05,9,15
2006-07-05,9,286
2006-07-05,9,63
2006-07-05,9,194
2006-07-05,9,8
2006-07-05,9,1
2006-07-05,9,44
2006-07-05,9,8
2006-07-05,9,40
2006-07-05,9,2
2006-07-05,9,42
2006-07-05,9,19
2006-07-05,9,3
2006-07-05,9,12
2006-07-05,9,33
2006-07-05,9,16
2006-07-05,9,8
2006-07-05,9,3
2006-07-05,9,7
2006-07-05,9,3
2006-07-05,9,14
2006-07-05,9,3
2006-07-05,9,1
2006-07-05,9,3
2006-07-05,9,5
2006-07-05,9,17
2006-07-05,9,4
2006-07-05,9,1
2006-07-05,9,1
2006-07-05,9,10
2006-07-05,9,5
2006-07-05,9,2
2006-07-05,9,225
2006-07-05,9,25
2006-07-05,9,4
2006-07-05,9,18
2006-07-05,9,117
2006-07-05,9,8
2006-07-05,9,2
2006-07-05,9,3
2006-07-05,9,1
2006-07-05,9,3
2006-07-05,9,58
2006-07-05,9,112
2006-07-05,9,9
2006-07-05,9,19
2006-07-05,9,211
2006-07-05,9,1
2006-07-05,9,4
2006-07-05,9,1
2006-07-05,9,4
2006-07-05,9,14
2006-07-05,9,52
2006-07-05,9,8
2006-07-05,9,2
2006-07-05,9,1
2006-07-05,9,5
2006-07-05,9,1
2006-07-05,9,6
2006-07-05,9,1
2006-07-06,0,1
2006-07-06,0,6
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,2
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,40
2006-07-06,0,24
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,36
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,4
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,2
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,3
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,2
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,15
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,2
2006-07-06,0,2
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,2
2006-07-06,0,3
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,1
2006-07-06,0,6
2006-07-06,0,1
2006-07-06,1,2
2006-07-06,1,2
2006-07-06,1,1342
2006-07-06,1,2
2006-07-06,1,10
2006-07-06,1,1
2006-07-06,1,4
2006-07-06,1,2
2006-07-06,1,3
2006-07-06,1,2
2006-07-06,1,1
2006-07-06,1,1
2006-07-06,1,1
2006-07-06,1,8
2006-07-06,1,2
2006-07-06,1,3
2006-07-06,1,3
2006-07-06,1,71
2006-07-06,1,1
2006-07-06,1,2
2006-07-06,1,1
2006-07-06,1,2
2006-07-06,1,3
2006-07-06,1,3
2006-07-06,1,10
2006-07-06,1,10
2006-07-06,1,6
2006-07-06,1,1
2006-07-06,1,4
2006-07-06,1,4
2006-07-06,1,1
2006-07-06,1,3
2006-07-06,1,8
2006-07-06,1,1
2006-07-06,1,2
2006-07-06,1,4
2006-07-06,1,6
2006-07-06,1,2
2006-07-06,1,1
2006-07-06,2,26
2006-07-06,2,83
2006-07-06,2,1
2006-07-06,2,18
2006-07-06,2,4
2006-07-06,2,1
2006-07-06,2,11
2006-07-06,2,1
2006-07-06,2,36
2006-07-06,2,3
2006-07-06,2,12
2006-07-06,2,931
2006-07-06,2,1
2006-07-06,2,3
2006-07-06,2,77
2006-07-06,2,22
2006-07-06,2,17
2006-07-06,2,1
